Plate thickness [mm],Applied load [kN],Plastic strain in plates [%],Bolt Utilization [%],Average force in bolt [kN]
4.0,105.46875,3.748776391148567,138.07365944910165,126.073412109375
6.0,179.6875,4.375099763274193,96.0251950643993,132.292078125
8.0,265.625,4.448285698890686,97.49174018565759,136.5618125
10.0,355.46875,3.4686684608459473,99.49311755952381,139.16003125
12.0,437.5,1.8861610442399979,99.05026528840702,139.520515625
14.0,464.84375,0.988535676151514,99.83588878259637,140.48895703125
16.0,496.09375,0.7785001769661903,99.87293615362812,140.64923046875
18.000000000000004,531.25,0.6819642148911953,99.75854990433673,140.56485546875
20.000000000000004,562.5,0.20233532413840294,99.23431742488663,140.034328125
22.000000000000007,562.5,0.04837893065996468,99.2186614229025,140.01519140625
